"Derwent Innovation Patent Export, 2020-09-05 10:53:04 +0000 "
标题 - DWPI,标题 (原文),标题 (英语),摘要 - DWPI,摘要 (原文),摘要 (英语),专利权人 - DWPI,优先权日 - DWPI,优先权日,优先权日 - 最早
"Method of disposing and reusing terylene fabric dyeing and finishing waste water","涤纶织物染整废水处理和回用的方法","Method of disposing and reusing terylene fabric dyeing and finishing waste water","The invention claims a method of disposing and reusing dyeing and finishing waste water of terylene fabric, the invention disposes dyeing and finishing waste water of terylene fabric with ternary composite inorganic high molecular flocculating agent and natural high molecular composite flocculating agent, then disposes it with filtrating technique, and with associated disposal of biology and ozone sterilization, gained the middle water is mixed with clean water, selectively reuse it for process of dyeing and finishing terylene fabric. The method can fast get rid of chromaticity and CODcr value in dyeing waste water, the quality of middle water is good, the cost is low, the proportion of reusing reaches above 50%, and it can not affect quality of dyeing and finishing fabric.","本发明公开了一种涤纶织物染整废水处理和回用的方法，该方法将涤纶织物染整废水通过三元复合无机高分子絮凝剂和天然高分子复合絮凝剂共同絮凝处理，再通过过滤技术，并结合生物处理和臭氧杀菌处理，获得的中水与清水混合，有选择的回用于涤纶织物染整加工过程。该方法可快速去除印染废水中色度及CODcr值，中水质量好，运行成本低，回用比例达到50％以上，并且不影响染色加工织物的质量。","The invention claims a method of disposing and reusing dyeing and finishing waste water of terylene fabric, the invention disposes dyeing and finishing waste water of terylene fabric with ternary composite inorganic high molecular flocculating agent and natural high molecular composite flocculating agent, then disposes it with filtrating technique, and with associated disposal of biology and ozone sterilization, gained the middle water is mixed with clean water, selectively reuse it for process of dyeing and finishing terylene fabric. The method can fast get rid of chromaticity and CODcr value in dyeing waste water, the quality of middle water is good, the cost is low, the proportion of reusing reaches above 50%, and it can not affect quality of dyeing and finishing fabric.","JIAXING NEW DAZHONG PRINTING&DYEING CO LTD | JIAXING XINDAZHONG PRINTING & DYEING CO LTD","2007-03-16","2007-03-16","2007-03-16",
"Shirt comprises collar, shirt body and sleeves, eye-button of jacket collar and first eye-button counting from top in neckline placket is horizontal, other eye-buttons in neckline placket are upright","衬衫","Shirt","The utility model claims a shirt which comprises collar, shirt body and sleeves. Eye-button of jacket collar and first eye-button counting from top in neckline placket is horizontal; other eye-buttons in neckline placket are upright. The utility model changes the first eye-button in neckline placket and the eye-button of jacket collar into horizontal direction without changing the appearance of shirt, which makes the size of collar round be adjustable and provides the more comfort because of designing more flexibility and reducing limitation. When wearing the shirt as official dress, pulls button outside of the eye-button and it is elegant under the fastening of necktie; pulls button inside of the eye-button and then it is casual clothes. It is still elegant and comfortable with or without a necktie, and it is special style for business or relaxing time. Every dresser can freely adjust the size of collar round according to the style the dresser likes, which makes them look polite and elegant every where in every time. The shirt is a courtlike, elegant, comfortable and cool slap-up shirt.","本实用新型提供一种衬衫，包括衣领、衣身和衣袖，其特征在于：领头扣眼及门襟上从上数起第一粒扣眼为水平方向，门襟上其它扣眼仍为竖直方向。本实用新型在不改变衬衫外观的情况下，将门襟第一粒扣眼与领头扣眼设置成水平方向，可使领围尺寸可调，为衬衫提供了更多的机动性，减少了限制性，增加了舒适的感觉。衬衫在作为正装穿着时，扣子拉到扣眼外端，在领带的紧固下是端庄的；当扣子拉到扣眼里端，即为休闲装，可打领带，也可不打，都不失端庄舒适效果，是商务也休闲的特殊风格；每个衬衫穿着者可以根据自己的喜好的舒适度来自由调节领围尺寸，使他们每时每刻看起来都是那样的文雅、端庄。此衬衫是一款高雅的、端庄的、舒适的、凉爽的高档衬衫。","The utility model claims a shirt which comprises collar, shirt body and sleeves. Eye-button of jacket collar and first eye-button counting from top in neckline placket is horizontal; other eye-buttons in neckline placket are upright. The utility model changes the first eye-button in neckline placket and the eye-button of jacket collar into horizontal direction without changing the appearance of shirt, which makes the size of collar round be adjustable and provides the more comfort because of designing more flexibility and reducing limitation. When wearing the shirt as official dress, pulls button outside of the eye-button and it is elegant under the fastening of necktie; pulls button inside of the eye-button and then it is casual clothes. It is still elegant and comfortable with or without a necktie, and it is special style for business or relaxing time. Every dresser can freely adjust the size of collar round according to the style the dresser likes, which makes them look polite and elegant every where in every time. The shirt is a courtlike, elegant, comfortable and cool slap-up shirt.","LUTAI TEXTILE CO LTD","2006-10-20","2006-10-20","2006-10-20",
"Coating bath lifting chemical plating device of textile","镀槽升降式纺织品化学镀装置","Coating bath lifting chemical plating device of textile","A coating bath lifting chemical plating device of textile belongs to chemical plating device of metal chemistry textile. It includes cloth guiding roller component which is set on the frame, chemical coating bath which locates under the cloth guiding component and matches with the cloth guiding component; wherein bracket of the chemical coating bath is fixedly set outside of the chemical coating bath; the bracket of the chemical coating bath and the chemical coating bath are separated from the frame and cloth guiding roller; liftinging device which is connected to the bracket of the chemical bath is set on the frame. After the utility model being improved according to said improvement, due to make the chemical coating bath transformed into lifting structure; it is convenient for rapidly cleaning of the cloth guiding roller and chemical coating bath; it reduces labour force of the operator and producing cost of enterprise.","一种镀槽升降式纺织品化学镀装置，属于金属化学纺织品的化学镀设备。包括设置在机架上的导布辊组件，以及位于导布辊组件下方，且与之匹配的化学镀槽，其特征在于化学镀槽的外侧固定设置化学镀槽托架，两者与机架及导布辊组件相互分离，机架上设置与化学镀槽托架相联的升降装置。本实用新型经上述改进后，由于将化学镀槽改造为了升降式结构，能够使化学镀槽与导布辊组件快速脱离，方便了导布辊组件的快速清洁及化学镀槽的清洗，减轻了操作人员的劳动强度，降低了企业的生产成本。","A coating bath lifting chemical plating device of textile belongs to chemical plating device of metal chemistry textile. It includes cloth guiding roller component which is set on the frame, chemical coating bath which locates under the cloth guiding component and matches with the cloth guiding component; wherein bracket of the chemical coating bath is fixedly set outside of the chemical coating bath; the bracket of the chemical coating bath and the chemical coating bath are separated from the frame and cloth guiding roller; liftinging device which is connected to the bracket of the chemical bath is set on the frame. After the utility model being improved according to said improvement, due to make the chemical coating bath transformed into lifting structure; it is convenient for rapidly cleaning of the cloth guiding roller and chemical coating bath; it reduces labour force of the operator and producing cost of enterprise.","SHANDONG WOYUAN NEW OUTSIDE MATERIAL CO","2006-06-27","2006-06-27","2006-06-27",
"Tent convenient for assembly and disassembly, comprises a tent support frame and a tent cloth connected above the tent support frame, where there is hard fixer fixed on the tent cloth","一种便于装拆的帐篷","Tent convenient for assembly and disassembly","This utility model claims a tent convenient for assembly and disassembly, comprising a tent support frame and a tent cloth connected above the tent support frame. There is hard fixer fixed on the said tent cloth. The fixer comprises extending-in part exposed on the inner surface of the tent cloth. The connecting part on the tent support frame can be detachably fixed and connected to the extending-in part of the fixer. The connecting part on the tent support frame can be directly and detachably fixed and connected to the extending-in part of the fixer in assembly and disassembly so that the tent cloth and the tent support frame can be separated to reduce occupancy. It can be conveniently and rapidly assembled and disassembled.","本实用新型公开了一种便于装拆的帐篷，其包括一帐篷支撑架及一联接于帐篷支撑架之上的帐篷布，所述的帐篷布上固带有硬质固定件，固定件具有露于帐篷布内面的伸进部，帐篷支撑架上的联接部可拆卸地固定联接于固定件的伸进部。本技术方案的有益效果是：装配拆卸过程中直接将帐篷支撑架上的联接部可拆卸地固定联接于固定件的伸进部，则不但可分开帐篷布和帐篷支撑架以减小占用空间，而且装配拆卸方便、快速。","This utility model claims a tent convenient for assembly and disassembly, comprising a tent support frame and a tent cloth connected above the tent support frame. There is hard fixer fixed on the said tent cloth. The fixer comprises extending-in part exposed on the inner surface of the tent cloth. The connecting part on the tent support frame can be detachably fixed and connected to the extending-in part of the fixer. The connecting part on the tent support frame can be directly and detachably fixed and connected to the extending-in part of the fixer in assembly and disassembly so that the tent cloth and the tent support frame can be separated to reduce occupancy. It can be conveniently and rapidly assembled and disassembled.","XIAMEN JINXIONG CO LTD","2006-06-30","2006-06-30","2006-06-30",
"Lady connected corsetry in which the lady connective corsetry has gallus at shoulder, crotch has opened and bosom part is sewed of upper bosom fabric, middle fabric, and lower bosom fabric in turns","女式连体紧身衣","Lady connected corsetry","This invention belongs to the field of braiding and knitting. It is especially claims lady connected corsetry. This invention mainly solves technique problems of non-science structure, and bad molding efficiency of existing technology. It claims a lady connective corsetry with good molding efficiency and efficiency of beauty bosom, hip, and abdomen. The main technique schemes of this invention are the follows: the lady connective corsetry has gallus at shoulder. Crotch has opened. Bosom part is sewed of upper bosom fabric, middle fabric, and lower bosom fabric in turns. Beauty hip line is sewed on the waist fabric. Back part of the beauty hip line is transversely sewed at hip. Frontal part of the beauty hip line is connected with middle line or the lower bosom fabric. Sock fabric is sewed below the waist fabric. Lower sock opening is sewed below the sock fabric.","本发明涉及编织、针织领域，尤其是涉及一种女式连体衣。本发明主要是解决现有技术所存在的结构不科学，塑型效果不好等的技术问题；提供了一种塑型效果好、具有提胸提臀收腹效果的女式连体衣。本发明主要技术方案为：女式连体衣肩部有吊带、裆部有开口，胸部采用上部胸部面料、中部面料、下部胸部面料依次缝合；腰部面料上缝制有提臀线，提臀线的背面部分横向缝制在臀部，提臀线的正面部分与中线或下部胸部面料连接；腰部面料下端缝制有袜腿面料，袜腿面料下端缝制有下袜口。","This invention belongs to the field of braiding and knitting. It is especially claims lady connected corsetry. This invention mainly solves technique problems of non-science structure, and bad molding efficiency of existing technology. It claims a lady connective corsetry with good molding efficiency and efficiency of beauty bosom, hip, and abdomen. The main technique schemes of this invention are the follows: the lady connective corsetry has gallus at shoulder. Crotch has opened. Bosom part is sewed of upper bosom fabric, middle fabric, and lower bosom fabric in turns. Beauty hip line is sewed on the waist fabric. Back part of the beauty hip line is transversely sewed at hip. Frontal part of the beauty hip line is connected with middle line or the lower bosom fabric. Sock fabric is sewed below the waist fabric. Lower sock opening is sewed below the sock fabric.","ZHEJIANG BAILONG KNITTING CO LTD","2007-03-19","2007-03-19","2007-03-19",
"Car carpet useful as multi-field car inner decorations molding carpet has heavy coating being disposed between intermediate layer and bottom material layer and containing barium sulfate powder, polyvinyl chloride resin and di-asarinin","重质涂层可成型汽车地毯及其制造方法","Car carpet with heavy coating capable of moulding and manufacturing method","A car carpet comprises of precoat, intermediate layer, heavy coating and bottom material layer. The precoat is needle prick non-woven fabrics layer that made of polyester fiber. The intermediate layer is molding latex layer. The main components of heavy coating are barium sulfate powder, polyvinyl chloride resin and di-asarinin. The bottom material layer is non-woven fabrics layer. The main components of demolding non-woven fabrics layer is polyester fiber. | An INDEPENDENT CLAIM is included for a method for manufacturing the car carpet with heavy coating capable of molding. | As multi-field car inner decorations molding carpet. | The car carpet has heavy coating capable of molding. The preparation of the heavy coating is short with high efficiency, has few investments and utilizes simple equipments. It eliminates the complications in manufacturing the car carpet. | Preferred Components: The molding latex of intermediate layer is acrylates monomer. Preferred Composition: The main components of the heavy coating include 50-80 wt.% barium sulfate, 8-30% polyvinyl chloride resin, and 8-30% di-asarinin. Preferred Parameters: The area density of intermediate layer is 120-350 g/sq-m, the area density of the precoat is 350-700 g/sq-m, and the area density of the bottom material layer is 30-150 g/sq-m. The needle prick density of precoat is 260-550 pin/sq-cm.","本发明涉及一种重质涂层可成型汽车地毯，它是由面料层、背涂于所述的面料层上的中间层、背涂于所述的中间层上的重质涂层以及底料层组成，所述的面料层为聚酯纤维混合组成的针刺无纺布层，所述的中间层为成型乳胶层，所述的重质涂层的主要成分为硫酸钡粉、聚氯乙烯树脂以及二辛脂，所述的底料层为脱模用无纺布层，该脱模用无纺布层的主要成分为聚酯纤维；本发明的制造方法，改变了通常的生产方式，将糊状重质涂层其制造方法流程短、效率高、投资少、设备简单，特别适宜日新月异变化的材料定义以及型面复杂的多领域汽车内饰成型地毯的制造。","The invention claims a car carpet with heavy coating capable of moulding and manufacturing method, which is comprised of precoat, intermediate layer the back of which is coated on said precoat, back coated heavy coating on said intermediate layer and bottom material layer. The said precoat is needle prick non-woven fabrics layer that is formed by polyester fiber mixing together. The said intermediate layer is moulding latex layer. The main components of said heavy coating are barium sulfate powder, polyvinyl chloride resin and di-asarinin. The said bottom material layer is non-woven fabrics layer that is used for demouding. The main components of said demouding non-woven fabrics layer is polyester fibre. The invented manufacturing method changes the usual producing method. The mushy heavy coating manufacturing method process is short with high efficiency, few investment and the simple equipments. It is especially suitable for quickly changing material definition and manufacturing complicated models of multi field car inner decorations moulding carpet.","JIANGSU ZHONGLIAN CARPET CO LTD | JIANGSU ZHONGLIAN CARPET LTD","2007-04-24","2007-04-24","2007-04-24",
"Compound needling and molding car carpet includes face fabric with low planar density and bottom fabric with high planar density, each comprising lanon and low-melting fiber","复合针刺可成型汽车地毯及其制造方法","Compound needling molding car carpet and its preparation method","A compound needling and molding car carpet includes a face fabric having a planar density of 120-300 g/m   2    and a bottom fabric having a planar density of 250-1400 g/m   2   . The face fabric is formed by mixing lanon and low-melting fiber, and needle bonding non-woven fabrics. The bottom fabric is formed by mixing, needle bonding and reinforcing lanon and low-melting fiber. | An INDEPENDENT CLAIM is included for a method of manufacturing compound needling and molding car carpet. | Compound needling and molding car carpet. | The compound needling molding car carpet can be manufactured rapidly without latex equipment for back coating. | Preferred Ratio: The weight ratio of lanon and low-melting fiber in the face fabric is 90:10-96:4. The weight ratio of lanon and low-melting fiber in the bottom fabric is 75:25-45:55. Preferred Properties: The needling density of face fabric is 120-500 needle/cm   2   . The needling density of bottom fabric is 70-300 needle/cm   2   . The melting point of lanon is 255-260°C. Preferred Components: The low-melting fiber is compound fiber produced by lanon and modified polyester conjugate spinning, and having a melting point of 90-150°C.","本发明涉及一种复合针刺可成型汽车地毯，是由面料层与底料层这两层材料所组成，所述的面料层的面密度为120～300克/平方米，所述的面料层是由聚酯纤维与低熔点纤维混合针刺无纺布构成；所述的底料层的面密度为250～1400克/平方米，所述的底料层是由聚酯纤维和低熔点纤维混合并针刺加固构成；该产品的制造方法为通过采用低熔点纤维通过温度特性复合于表层材料，在此制造过程中，无需背涂乳胶设备和投入和保养，其流程短、效率高、投资少、设备简单，特别适宜日新月异变化的材料定义以及型面复杂的多领域汽车内饰成型地毯的制造。","The invention claims a compound needling molding car carpet, comprising the face fabric and bottom fabric; the planar density of said face fabric is 120-300 g/sq.m, said face fabric is comprised of mixing lanon and low-melting fiber and needle bonding non-woven fabrics; the planar density of said bottom fabric is 250-1400 g/sq.m, and it is comprised of mixing, needle bonding and reinforcing lanon and low-melting fiber; the preparation of the invention adopts the low-melting fiber to compound on the surface material through its temperature property, there is no need latex equipment for back coating, and investment and maintenance, and the procedure is short but has high efficient and small investment , besides, it is a simple equipment, which is especially suitable for the definition of material with never-ending changes and improvement and the formation of the inner decoration molding carpet of various cars with complex moulding surface.","JIANGSU ZHONGLIAN CARPET CO LTD","2007-04-24","2007-04-24","2007-04-24",
"Compound-agglutinate moldable automobile carpet comprises precoat containing non-woven fabrics blended and pinpricked by lanon, interface layer as polyvinyl film formed by melting polyvinyl powder, and hearth layer with polyvinyl powder","复合粘合可成型汽车地毯及其制造方法","Compound-agglutinate moldable automobile carpet and its preparing method","A compound-agglutinate moldable automobile carpet comprises precoat, interface layer and hearth layer. The precoat includes non-woven fabrics blended and pinpricked by lanon added with fiber of low melting point with planar density of 250-600 g/m  2  . The interface layer is polyvinyl film formed by melting polyvinyl powder spilled on hearth layer having planar density of 200-500 g/m  2  . The hearth layer includes blended and pinpricked polyvinyl fiber, and fiber having low melting point with planar density of 250-600 g/m  2  . | An INDEPENDENT CLAIM is included for a method of preparing compound-agglutinate moldable automobile carpet. | A compound-agglutinate moldable automobile carpet. | The product provides a better toughness, shock resistance, tear resistance and moisture absorbing resistance. It also provides a better environmental protection that is hard to be out of shape with better sound insulation and sound absorbing function. | Preferred Properties: The proportion by weight of polyvinyl fiber and fiber with low melting point in precoat is 90:10-96:4 and hearth layer is 75:25-45:55. The pinprick density of precoat is 120-500, preferably (70-300) pins/cm  2  . The melting point of polyvinyl fiber is 255-260°C. Preferred Composition: The interface layer is small polyethylene powder with item account of 40-80 items. The fiber with low melting point is a compound-fiber produced from polyvinyl fiber and modified polyvinyl conjugate by spinning with melting point at 90-150°C.","本发明涉及复合粘合可成型汽车地毯及其制造方法。该复合粘合可成型汽车地毯是由面料层、中间层与底料层这三层材料所组成，面料层是由聚酯纤维并添加低熔点纤维混合针刺无纺布构成；中间层是由均匀分洒在底料层上的聚乙烯粉受热熔融后形成的聚乙烯膜；底料层是由聚酯纤维和低熔点纤维混合并针刺加固构成。制造方法是将面料层和底料层通过加热熔融中间层聚乙烯膜复合成型，其产品的优点是所制得产品不仅具有优良的韧性、抗冲击性、抗撕裂和抗吸潮性能，而且具有不易变形的优良环保产品，其隔音和吸音性能好。","This invention claims compound-agglutinate moldable automobile carpet and its preparing method. This compound-agglutinate moldable automobile carpet is comprised of three materials, such as precoat, interface layer and hearth layer, wherein precoat is comprised of non-woven fabrics blended and pinpricked by lanon added with fiber of low melting point. Interface layer is polyvinyl film formed by melting polyvinyl powder spilled averagely on hearth layer; hearth layer is comprised of blended and pinpricked polyvinyl fiber and fiber with low melting point. The preparing method is to compound by heating and melting interface layer polyvinyl film with precoat and hearth layer. The merit of product is that it has nice toughness, shock resistance, tearresistance and moisture absorbing resistance; meanwhile, it is nice environmental protection product that is hard to be out of shape with nice sound insulation and sound-absorbing function.","JIANGSU ZHONGLIAN CARPET CO LTD","2007-04-24","2007-04-24","2007-04-24",
"Technique for fabricating shirts durable press and ironing","耐久压烫衬衣制作方法","durable press shirt manufacturing method","A process for preparing shirt of pressing free includes cutting as per patter, spraying edge loosing proof agent, spraying resin, pressing folded line, washing by water, drying and sewing. It the process, liquid ammonia + moist cross-linked plus material is applied for preparing shirt, line made by folding is treated by spraying resin on and by pressing it with certain pressure to form the line to be permanent folded line for pressing free.","本发明提供一种耐久压烫衬衣制作方法，衬衣采用液氨+潮交联面料制成，其特征在于工艺流程为：裁片、喷防脱边剂、在衬衫需要制作折痕的裁片地方喷树脂、压折痕、水洗、烘干、缝制成衣。本发明将缝制衬衫的裁片先经过喷防脱边剂处理以防脱边，再在衬衫需要制作折痕所对应的裁片的地方喷树脂，然后在一定的温度下施加一定的压力，使树脂和纤维之间再一次进行交联反应，从而形成永久性折痕，再经过水洗以去除折痕周围印迹和保持面料原有手感、烘干，采用正常方法缝制成衬衫即可。采用本方法制作的衬衫，衬衫的口袋握边、短袖口握边、右门襟止口、后背折、袖中折部位出现平服、挺直的永久性折痕，实现液氨+潮交联免烫衬衫真正意义上的“洗可穿”。","The invention claims a durable press shirt, shirt manufacturing method using liquid ammonia + moisture-crosslinked surface material, wherein the technical process is as follows: cutting and spraying anti-dropping agent, place the shirt the creases to be made of resin, the creasing pressing, washing, drying and sewing garment. The invention combines the sewn shirt firstly to prevent edge by edge-spraying anti-dropping agent, then making the crease processing the shirt garment corresponding to the needed place ink resin, and then applied at a certain temperature for a certain pressure to make the resin and the fibre again for cross-linking reaction, thereby forming permanent fold, then washing by water to remove creases around print and keep the original hand feeling of the fabric, drying, using normal method to sew a shirt. The method for manufacturing shirt shirt, short-sleeve, bag holding opening holding edge, a right closure, sleeve seam allowance, back folding folding part appears smooth, permanent fold, realizing liquid ammonia + moisture crosslinking shirts in the true sense of ""washing"".","LUTAI TEXTILE CO LTD","2004-12-20","2004-12-20","2004-12-20",
"Multifunctional shirt, has slitting material baked preshrunk and sorted out together, and agglutinate lining belt sewed along stitch in slitting of shirt and flatly pressed in process of sewing skirt","多功能衬衫及其制作方法","Multifunctional shirt and its manufacturing method","The shirt has a slitting material baked preshrunk and sorted out together, and an agglutinate lining belt sewed along a stitch in the slitting of shirt and flatly pressed in the process of sewing skirt, where the belt is a thawing polymer or gummed fabric. The belt comprises seaming parts, such as a bag mouth handling ring, two sides of bags, front and back overhand parts, neckline placket, hemline, shirt collar and sleeve cap, where the seaming parts are pressed and ironed in high temperature. | Multifunctional shirt. | The shirt has multifunction such as permanent press, waterproof, oil-proof, antifouling, easy decontamination, purity, moisture absorption. The shirt has consistent washing shrinkage, and better function without material aberration.","本发明提供一种多功能衬衫及其制作方法，其特征在于：衬衫前裁片采用免烫+防水防油防污面料，后裁片采用免烫+清新吸湿面料，袖子、袖口、领子等裁片采用免烫+防水防油易去污面料，衬衫各裁片面料的处理工序依次为面料准备、上树脂、堆置、水洗、拉幅、焙烘、预缩、缝制，其中衬衫的前片面料在拉幅工序中加的是防水防油防污助剂，其后片面料在拉幅工序中加的是清新助剂，其袖子、袖口、领子面料在拉幅工序中加的是防水防油易去污助剂，且上述裁片面料一起进行焙烘、预缩整理，衬衫缝制中在衬衫裁片中沿缝缝入粘合衬带，并进行平压。制成的衬衫具有免烫、防水、防油、防污、易去污、清新、吸湿等多功能，缩水率一致，无面料色差，性能优良。","The invention provides a multifunctional shirt and its manufacturing method, wherein, it is adopted with the material of permanent press and waterproof, oil-proof, and antifouling in former slitting while posterior slitting is adopted with material of permanent press and fresh moisture absorption, the slitting on sleeve, cuff, and shirt collar is adopted with material of permanent press and waterproof, oil-proof, and easy decontamination. The working procedure of each slitting of the shirt is to prepare material, coat resin, stack, was, tenter, bake, preshrink, and sew; wherein, in the working procedure of tentering, the front material of the shirt is added with waterproof, oil-proof, and antifouling addition agent, the posterior slitting is added with fresh addition agent, material on sleeve, cuff, and shirt collar is added with waterproof, oil-proof, and easy decontamination addition agent; moreover said slitting material is baked preshrunk and sorted out together; in the process of sewing skirt, the agglutinate lining belt should be sewed along the stitch in the slitting of shirt, and be flatly pressed. The shirt has multifunction like permanent press, waterproof, oil-proof, antifouling, easy decontamination, purity, moisture absorption, etc., and it has consistent washing shrinkage and good function, but without material aberration.","LUTAI SPINNING CO LTD | LUTAI TEXTILE CO LTD","2006-03-27","2006-03-27","2006-03-27",
"Fulling scarf with aflutter yarn involves a roving scarf with changing texture, belonging to the fabrics field where the fabric forms double-layer structure with floats on part of it","游纱缩绒围巾","Fulling scarf with aflutter yarn","This utility model claims a fulling scarf with aflutter yarn, especially involves a roving scarf with changing texture, belonging to the fabrics field. The texture can be divided into A, B, C three parts, A part is 2/2 twill single-layer texture, B part is double-layer texture, abb forms floats on the surface of the fabric, abb forms tabby texture on the lower layer of the fabric, the texture of C part is the same with the texture of A part, the fabric forms double-layer structure with floats on part of it, the middle of floats is broken off, thus the yarn becomes a kind of free aflutter yarn. This utility model is knitted by the changing texture of floats, and the floats are cut off after fulling to form the fabrics. Freely aflutter yarn tassel forms on one end of the surface of the fulling scarf with aflutter yarn, thus the fabric surface has innervations and third dimension, it is not only soft, smooth and elegant as wool fabrics, but also leisurable, random and rough, which representing people's psychology for nostalgia and classic styles, and it is innovative and fashionable.","本实用新型涉及一种游纱缩绒围巾，特别是涉及一种变化组织粗纺围巾，属于纺织领域。特点是：组织分为A、B、C三部分，A部分为2/2斜纹单层组织，B部分是一个双层组织，纬纱在织物表层形成浮长线，纬纱在织物下层形成平纹组织，C部分同A部分组织相同，织物形成局部有浮长线的双层结构，浮长线中间断开，纱线即成为一种自由的游纱。本实用新型采用有浮长线的变化组织织造，缩绒整理后将浮线剪开而制成的织物。游纱缩绒围巾表面有一端自由游动的纱穗，使织物表面形成动感和立体感，既体现了羊绒织物柔软、滑糯、高贵的特点，同时体现了休闲、随意、粗犷的风格，表现了人们怀旧、复古的心态，新颖而不失时尚。","This utility model claims a fulling scarf with aflutter yarn, especially involves a roving scarf with changing texture, belonging to the fabrics field. The texture can be divided into A, B, C three parts, A part is 2/2 twill single-layer texture, B part is double-layer texture, abb forms floats on the surface of the fabric, abb forms tabby texture on the lower layer of the fabric, the texture of C part is the same with the texture of A part, the fabric forms double-layer structure with floats on part of it, the middle of floats is broken off, thus the yarn becomes a kind of free aflutter yarn. This utility model is knitted by the changing texture of floats, and the floats are cut off after fulling to form the fabrics. Freely aflutter yarn tassel forms on one end of the surface of the fulling scarf with aflutter yarn, thus the fabric surface has innervations and third dimension, it is not only soft, smooth and elegant as wool fabrics, but also leisurable, random and rough, which representing people's psychology for nostalgia and classic styles, and it is innovative and fashionable.","INNER MONGONIA LUWANG CASHMERE CO LTD","2006-06-28","2006-06-28","2006-06-28",
"Blinking cashmere yarn is composed of cashmere fiber and blinking polyester fiber, the non-isometric blinking polyester fiber is attached on the cashmere yarn, and blinking filoplume is formed on the outside of the yarn","一种闪光羊绒纱线","A blinking cashmere yarn","The utility model claims a blinking cashmere yarn belonging to weaving field. The character is that the cashmere yarn is composed of cashmere fiber and blinking polyester fiber; the non-isometric blinking polyester fiber is attached on the cashmere yarn; blinking filoplume is formed on the outside of the yarn. Exterior appearance of the blinking cashmere yarn has exquisite rainbow luster and faint metal effect. The product has gallant and seductive appearance, so that baffling visual effect with fresh is brought for it. The blinking cashmere yarn becomes more fashion and is full of individuation.","本实用新型涉及一种闪光羊绒纱线，属纺织领域。特点是：由羊绒纤维、闪光涤纶纤维组成羊绒纱，在羊绒纱上着附有不等节距的闪光涤纶纤维，并在纱线外面形成闪光的毛羽。本实用新型产品外观具有细腻的彩虹光泽、微弱的金属效果。表面华丽、诱惑、给羊绒产品带来富有新意的变幻的视觉效果，更加时尚、富有个性。","The utility model claims a blinking cashmere yarn belonging to weaving field. The character is that the cashmere yarn is composed of cashmere fiber and blinking polyester fiber; the non-isometric blinking polyester fiber is attached on the cashmere yarn; blinking filoplume is formed on the outside of the yarn. Exterior appearance of the blinking cashmere yarn has exquisite rainbow luster and faint metal effect. The product has gallant and seductive appearance, so that baffling visual effect with fresh is brought for it. The blinking cashmere yarn becomes more fashion and is full of individuation.","INNER MONGOLIA LUWANG CASHMERE GROUP COR","2006-06-28","2006-06-28","2006-06-28",
"Roved knitting yarn comprises cashwool as raw material and fabric knitted by the yarn, in which carding hair of hair combings of wool of native breed sheep is used","以凯喜沃尔为原料的粗纺针织纱线及由该纱织造的面料","Roved knitting yarn using cashwool as raw material and fabric knitted by the yarn","A roved knitting yarn comprises cashwool as raw material and fabric knitted by the yarn. A carding hair of hair combings of the wool of native breed sheep is used. The fineness is 17.5-20.5 μm and the middle length is 30-38 mm. | A roved knitting yarn. | The yarn has soft and elastic hand sense. It is has fine quality and is smooth with luster; and has low fulling and smooth hair. Its source is rich and the production cost is lower.","一种以凯喜沃尔为原料的粗纺针织纱线及由该纱织造的面料，利用土种羊羊毛的毛渣子分梳毛，细度φ17.50－20.50μm；中间长度30－38mm这部分细羊毛，定义为凯喜沃尔。本发明产品手感柔软富弹性，质地细腻有光泽，低缩绒及顺毛，属高档品位，特别是废物利用、来源丰富、生产成本较低。","The invention claims a roved knitting yarn using cashwool as raw material and fabric knitted by the yarn; the carding hair of hair combings of the wool of the native breed sheep is utilized, the fineness is phi 17.50 to 20.5 microns; the middle length is 30-38 mm, wherein the fine wool is defined to cashwool. The invention has soft and elastic hand sense, the quality is fine and smooth with luster and it has low fulling and smooth hair, which belongs to high level taste, especially the waste is utilized, and the source is rich and the production cost is lower.","ZHEJIANG SHENZHOU WOOL MFG CO LTD","2007-04-05","2007-04-05","2007-04-05",
